;I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;;II. TUMORES [NEOPLASIAS];;"III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD";;"IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS";;V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;VI. ENFERMEDADES DEL SISTEMA NERVIOSO;;VII. ENFERMEDADES DEL OJO Y SUS ANEXOS;;VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES;;IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO;;X. ENFERMEDADES DEL SISTEMA RESPIRATORIO;;XI. ENFERMEDADES DEL SISTEMA DIGESTIVO;;XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;;XIII. ARTROPATÍAS;;XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO;;"XV. EMBARAZO; PARTO Y PUERPERIO";;XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL;;"XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS";;"XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE";;XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD;
;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres
        Santa María de Guía;3;3;25;9;0;0;0;1;1;2;4;10;0;0;0;0;26;29;4;11;4;2;2;0;0;1;6;4;.;0;0;0;0;0;1;1;2;1
        Tejeda;0;0;4;0;0;0;0;2;0;1;1;0;0;0;0;0;2;5;0;2;1;0;0;0;0;0;0;2;.;0;0;0;0;0;0;0;0;0
        Telde;10;10;129;73;2;4;12;14;8;9;16;19;0;0;0;0;98;93;46;47;12;11;1;5;4;3;12;23;.;0;0;1;0;2;5;7;26;7
        Teror;3;0;21;10;0;0;2;2;2;2;2;5;0;0;0;0;15;14;8;0;1;4;0;0;0;0;1;1;.;0;0;0;0;0;0;0;3;0
        Valsequillo;1;1;11;5;0;0;0;1;1;0;1;1;0;0;0;0;10;10;1;9;0;1;1;0;0;1;1;1;.;0;0;0;0;0;0;1;0;0
        Valleseco;0;0;6;3;0;0;0;0;0;1;1;1;0;0;0;0;10;5;1;0;2;3;1;0;0;0;1;0;.;0;0;0;0;0;0;0;2;0
        Vega de San Mateo;5;1;9;3;0;0;0;5;0;1;3;1;0;0;0;0;11;14;1;3;4;1;0;0;0;0;3;4;.;0;0;0;0;0;1;0;1;0
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Defunciones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Agaete;0;0;10;10;0;0;1;1;0;2;1;2;0;0;0;0;8;8;2;3;1;2;0;0;0;0;1;2;.;0;0;0;0;0;1;3;0;0
        Agüimes;1;4;27;20;0;0;4;4;3;3;3;6;0;0;0;0;33;22;15;9;4;3;1;1;1;0;1;3;.;0;0;0;0;0;6;2;4;1
        Artenara;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;.;0;0;0;0;0;0;1;0;1
        Arucas;0;2;55;33;1;0;8;1;3;7;9;11;0;0;0;0;34;46;19;19;8;5;1;0;0;0;5;3;.;0;0;0;0;1;0;1;10;8
        Firgas;0;1;8;6;0;0;0;1;2;0;2;2;0;0;0;0;9;6;4;4;2;5;0;0;0;0;1;1;.;0;0;0;0;0;1;0;2;0
        Gáldar;4;2;30;23;0;2;2;7;1;5;2;4;0;0;0;0;29;17;14;11;1;7;1;0;0;2;6;3;.;0;0;0;0;0;8;9;5;3
        Ingenio;1;4;31;21;0;0;1;1;2;2;5;4;0;0;0;0;32;23;13;13;13;2;0;0;0;1;3;5;.;0;1;0;0;0;2;3;7;1
        Mogán;0;1;11;16;0;0;2;3;0;0;0;1;0;0;0;0;20;14;12;5;3;1;0;1;0;2;0;2;.;0;0;1;0;0;1;1;8;2
        Moya;0;2;12;7;0;1;3;1;1;3;1;1;0;0;0;0;11;4;4;1;2;0;0;0;0;1;1;1;.;0;0;0;0;0;0;0;1;1
        Palmas de Gran Canaria (Las);31;20;553;414;3;5;41;55;42;60;63;89;0;0;0;0;478;559;266;220;88;79;6;12;6;13;44;58;.;1;6;2;8;3;27;22;66;31
        San Bartolomé de Tirajana;3;3;56;34;1;0;7;6;1;1;4;6;0;0;0;0;61;47;30;18;8;8;2;1;2;3;3;5;.;0;0;0;0;0;3;2;16;8
        Aldea de San Nicolás (La);1;0;12;8;0;0;1;1;1;0;3;0;0;0;0;0;17;14;8;7;2;3;0;0;0;0;1;4;.;0;0;0;0;0;0;1;2;1
        Santa Brígida;0;1;31;16;0;0;0;1;0;5;3;4;0;0;0;0;21;24;12;7;7;5;0;0;0;2;3;3;.;0;0;0;0;0;0;2;4;0
        Santa Lucía;0;2;55;36;0;0;6;9;8;4;10;5;0;0;0;0;55;48;37;34;14;6;0;0;2;1;8;8;.;0;2;0;1;2;3;1;9;4
        Santa María de Guía;1;0;15;13;0;0;1;1;3;0;2;4;0;0;0;0;12;7;7;11;5;1;0;0;0;1;1;1;.;0;0;0;0;0;14;16;3;2
        Tejeda;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;3;1;1;0;0;0;0;0;0;0;.;0;0;0;0;0;1;0;0;0
        Telde;5;4;135;75;2;3;13;18;8;19;14;17;0;0;0;0;106;96;55;42;19;7;0;3;2;3;12;15;.;0;0;2;3;0;12;3;19;4
        Teror;0;0;17;9;1;1;2;3;0;4;2;4;0;0;0;0;13;20;9;9;3;2;1;1;0;0;4;2;.;0;0;0;0;0;0;2;2;0
        Valsequillo;0;0;9;5;0;0;1;2;0;1;2;0;0;0;0;0;6;13;6;4;1;2;0;0;0;0;0;1;.;0;0;0;0;0;1;0;1;2
        Valleseco;0;1;8;1;0;1;0;1;1;0;1;0;0;0;0;0;5;8;2;2;0;1;0;0;0;0;0;0;.;0;0;0;0;0;2;0;0;1
        Vega de San Mateo;1;1;16;5;0;0;0;1;1;1;0;0;0;0;0;0;4;9;8;6;6;2;1;2;0;1;2;2;.;0;0;0;0;0;1;0;2;0
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Defunciones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Agaete;0;1;8;3;0;0;2;1;0;1;2;1;0;0;0;0;11;7;2;3;0;2;0;0;0;2;0;2;.;0;0;0;0;0;0;0;2;2
        Agüimes;5;1;32;18;1;1;3;2;0;1;1;4;0;0;0;0;30;24;7;6;4;2;0;1;0;2;3;6;.;0;0;0;0;1;2;1;6;2
        Artenara;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;1;0;1;.;0;0;0;0;0;0;0;0;0
        Arucas;3;2;35;24;0;1;4;5;6;2;6;9;0;0;0;0;46;58;18;23;12;10;1;1;0;1;1;8;.;0;1;1;0;1;0;1;4;1
        Firgas;2;0;12;12;1;0;2;2;1;1;0;1;1;0;0;0;12;14;7;0;2;2;1;0;0;0;1;2;.;0;0;0;0;0;0;1;1;0
        Gáldar;2;0;43;19;0;0;6;2;2;3;4;6;0;0;0;0;32;36;21;13;2;5;3;0;0;0;4;2;.;0;0;0;0;0;0;3;12;4
        Ingenio;0;3;31;19;0;0;3;3;1;2;7;1;0;0;0;0;41;34;8;12;10;2;0;1;0;0;4;6;.;0;0;0;0;0;2;0;4;0
        Mogán;1;0;16;11;0;0;3;3;2;4;1;1;0;0;1;0;34;11;6;6;6;2;0;0;0;0;2;2;.;0;0;0;0;0;0;1;2;0
        Moya;0;1;14;5;0;0;5;4;4;1;1;4;0;0;0;0;22;11;7;8;2;0;1;1;0;0;1;2;.;0;1;0;0;0;3;2;3;0
        Palmas de Gran Canaria (Las);29;27;590;454;8;5;46;62;55;83;67;86;0;0;0;0;505;584;252;194;94;65;14;7;6;16;46;73;.;0;8;3;8;1;14;23;66;24
        San Bartolomé de Tirajana;7;9;59;36;1;1;4;4;4;6;6;7;0;0;0;0;48;46;36;11;9;10;0;1;1;1;2;8;.;0;0;0;2;0;2;1;15;2
        Aldea de San Nicolás (La);0;0;10;10;0;0;1;3;0;3;2;3;0;0;0;0;19;9;3;12;6;1;2;0;0;0;1;4;.;0;0;0;0;0;1;1;4;2
        Santa Brígida;0;1;31;13;0;1;4;2;2;2;2;3;0;0;0;0;17;16;7;7;2;4;0;0;0;1;4;1;.;0;1;0;0;0;1;0;6;1
        Santa Lucía;2;3;70;35;1;0;6;10;4;5;7;6;0;0;0;0;71;49;27;12;7;7;0;0;2;0;8;10;.;0;0;0;0;1;2;2;10;1
        Santa María de Guía;2;1;25;18;0;0;2;6;3;9;4;2;0;0;0;0;18;25;9;8;1;4;0;2;1;0;4;2;.;0;0;0;0;0;2;0;2;1
        Tejeda;0;1;3;0;0;0;0;1;0;0;0;1;0;0;0;0;3;3;3;2;3;1;0;0;0;0;0;0;.;0;0;0;0;0;0;1;0;0
        Telde;6;4;111;74;0;1;15;19;10;15;15;14;0;0;0;0;111;104;62;31;16;18;1;3;0;2;15;12;.;0;3;1;1;1;14;5;16;6
        Teror;0;0;17;12;0;1;1;0;1;3;1;7;0;0;0;0;17;17;4;6;5;2;0;0;0;0;5;3;.;0;0;0;0;0;1;1;6;0
        Valsequillo;0;0;16;6;0;0;2;2;0;2;0;0;0;0;0;0;10;5;5;4;5;0;0;0;0;0;0;1;.;0;0;0;0;0;0;2;1;0
        Valleseco;0;1;4;2;0;0;0;1;2;5;2;3;0;0;0;0;5;10;1;3;1;0;0;1;0;0;2;1;.;0;0;0;0;0;0;0;2;2
        Vega de San Mateo;0;1;12;6;0;0;1;3;0;1;2;2;0;0;0;0;10;8;5;3;0;1;0;0;0;0;1;5;.;0;0;0;0;0;0;1;2;0
